B/U;dependent;independent;AUC;eta;depth;f1;cm
B;2;((3, 11), (13, 14), (9, 10, 12));0.728282267438;0.1;10;0.0587585597526;[15287  8375   147   266]
B;2;((3, 11), (13, 14), (4, 5, 8));0.690239727031;0.05;10;0.620858895706;[264 149 160 253]
B;2;((3, 11), (13, 14), (4, 5, 8));0.672604730094;0.05;10;0.051945385484;[14587  9075   160   253]
B;2;((3, 11), (6, 7), (9, 10, 12));0.707704799817;0.1;12;0.627078384798;[248 165 149 264]
B;2;((3, 11), (6, 7), (9, 10, 12));0.69890541797;0.1;12;0.0546697038724;[14681  8981   149   264]
B;2;((3, 11), (6, 7), (4, 5, 8));0.591496696352;0.05;8;0.520965692503;[244 169 208 205]
B;2;((3, 11), (6, 7), (4, 5, 8));0.56982594665;0.05;8;0.0380722444052;[13511 10151   208   205]
B;2;((3, 11), (9, 10, 12), (4, 5, 8));0.711278133776;0.05;12;0.639225181598;[264 149 149 264]
B;2;((3, 11), (9, 10, 12), (4, 5, 8));0.697990597198;0.05;12;0.0555847983998;[14840  8822   149   264]
B;2;((13, 14), (6, 7), (9, 10, 12));0.714441076632;0.05;12;0.707129094412;[155 258  46 367]
B;2;((13, 14), (6, 7), (9, 10, 12));0.705772508838;0.05;12;0.0467218332272;[ 8732 14930    46   367]
B;2;((13, 14), (6, 7), (4, 5, 8));0.663192021997;0.1;10;0.682646212848;[139 274  57 356]
B;2;((13, 14), (6, 7), (4, 5, 8));0.650156420026;0.2;12;0.0430364614465;[ 7705 15957    53   360]
B;2;((13, 14), (9, 10, 12), (4, 5, 8));0.714690242658;0.2;12;0.709491850431;[153 260  43 370]
B;2;((13, 14), (9, 10, 12), (4, 5, 8));0.705128399291;0.2;12;0.0467880627213;[ 8629 15033    43   370]
B;2;((6, 7), (9, 10, 12), (4, 5, 8));0.689026141913;0.2;12;0.697230181471;[144 269  48 365]
B;2;((6, 7), (9, 10, 12), (4, 5, 8));0.680508003863;0.1;12;0.0448127685697;[ 8150 15512    48   365]
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.734943043578;0.05;12;0.65617433414;[271 142 142 271]
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.727937316563;0.05;12;0.0594885303479;[15235  8427   142   271]
B;2;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.683963674525;0.1;8;0.609638554217;[249 164 160 253]
B;2;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.674057442967;0.05;10;0.0526423596887;[14568  9094   156   257]
B;2;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.734699740281;0.05;10;0.649696969697;[269 144 145 268]
B;2;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.72302056423;0.05;10;0.0583941605839;[15164  8498   145   268]
B;2;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.704108014938;0.1;12;0.62994011976;[254 159 150 263]
B;2;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.696825479826;0.1;12;0.054182117841;[14630  9032   150   263]
B;2;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.707564094296;0.1;12;0.704306220096;[149 264  45 368]
B;2;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.704109458817;0.1;12;0.0466383625879;[ 8662 15000    45   368]
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.729587439687;0.05;12;0.647272727273;[268 145 146 267]
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.725980428975;0.05;10;0.0608237010437;[15435  8227   142   271]
B;0;((3, 11),);0.615447403326;0.05;12;0.587064676617;[56 43 40 59]
B;0;((3, 11),);0.623500183685;0.05;10;0.0116538797708;[13838 10138    39    60]
B;0;((13, 14),);0.586164677074;0.2;8;0.687258687259;[28 71 10 89]
B;0;((13, 14),);0.615294587517;0.05;12;0.0105423450861;[ 7091 16885     9    90]
B;0;((6, 7),);0.485256606469;0.2;8;0.659793814433;[ 3 96  3 96]
B;0;((6, 7),);0.495181418793;0.1;10;0.00828121630364;[  986 22990     3    96]
B;0;((9, 10, 12),);0.679114376084;0.2;12;0.413793103448;[83 16 69 30]
B;0;((9, 10, 12),);0.646095801188;0.1;10;0.0123404255319;[19404  4572    70    29]
B;0;((4, 5, 8),);0.505254565861;0.1;10;0.662068965517;[ 4 95  3 96]
B;0;((4, 5, 8),);0.508412874154;0.05;8;0.00834492350487;[ 1163 22813     3    96]
B;0;((3, 11), (13, 14));0.720079583716;0.05;12;0.710900473934;[62 37 24 75]
B;0;((3, 11), (13, 14));0.726816041631;0.05;10;0.0164221589665;[15016  8960    24    75]
B;0;((3, 11), (6, 7));0.635190286705;0.05;12;0.598984771574;[60 39 40 59]
B;0;((3, 11), (6, 7));0.6367889354;0.2;8;0.0119036003513;[13887 10089    38    61]
B;0;((3, 11), (9, 10, 12));0.745689215386;0.05;12;0.692307692308;[62 37 27 72]
B;0;((3, 11), (9, 10, 12));0.740156612842;0.05;8;0.0163469921534;[14974  9002    24    75]
B;0;((3, 11), (4, 5, 8));0.620906029997;0.2;12;0.610837438424;[57 42 37 62]
B;0;((3, 11), (4, 5, 8));0.639564016879;0.05;10;0.0122045718714;[13814 10162    36    63]
B;0;((13, 14), (6, 7));0.603611876339;0.2;10;0.6953125;[31 68 10 89]
B;0;((13, 14), (6, 7));0.616234289845;0.1;10;0.0106038291605;[ 7190 16786     9    90]
B;0;((13, 14), (9, 10, 12));0.726252423222;0.1;12;0.43661971831;[87 12 68 31]
B;0;((13, 14), (9, 10, 12));0.696609488276;0.1;12;0.0170049369172;[20460  3516    68    31]
B;0;((13, 14), (4, 5, 8));0.620344862769;0.1;12;0.700787401575;[33 66 10 89]
B;0;((13, 14), (4, 5, 8));0.616558898966;0.1;12;0.0105776087473;[ 7336 16640    10    89]
B;0;((6, 7), (9, 10, 12));0.671258034894;0.2;12;0.41095890411;[82 17 69 30]
B;0;((6, 7), (9, 10, 12));0.646812426905;0.05;12;0.0123984608807;[19426  4550    70    29]
B;0;((6, 7), (4, 5, 8));0.476073870013;0.2;8;0.650519031142;[ 3 96  5 94]
B;0;((6, 7), (4, 5, 8));0.493321183136;0.2;8;0.0082074565616;[ 1263 22713     5    94]
B;0;((9, 10, 12), (4, 5, 8));0.676563615958;0.2;12;0.421768707483;[82 17 68 31]
B;0;((9, 10, 12), (4, 5, 8));0.646273377755;0.05;10;0.0124064171123;[19429  4547    70    29]
B;0;((3, 11), (13, 14), (6, 7));0.733853688399;0.05;12;0.705314009662;[64 35 26 73]
B;0;((3, 11), (13, 14), (6, 7));0.730362728048;0.05;12;0.0164636896707;[15280  8696    26    73]
B;0;((3, 11), (13, 14), (9, 10, 12));0.775278032854;0.1;12;0.73786407767;[68 31 23 76]
B;0;((3, 11), (13, 14), (9, 10, 12));0.771090534979;0.05;10;0.0183841315917;[15883  8093    23    76]
B;0;((3, 11), (13, 14), (4, 5, 8));0.737475767779;0.05;10;0.704761904762;[62 37 25 74]
B;0;((3, 11), (13, 14), (4, 5, 8));0.733965025632;0.05;10;0.0165789178895;[15222  8754    25    74]
B;0;((3, 11), (6, 7), (9, 10, 12));0.762575247424;0.05;10;0.71568627451;[67 32 26 73]
B;0;((3, 11), (6, 7), (9, 10, 12));0.738232761381;0.05;10;0.0158972125436;[14964  9012    26    73]
B;0;((3, 11), (6, 7), (4, 5, 8));0.623456790123;0.2;12;0.620689655172;[58 41 36 63]
B;0;((3, 11), (6, 7), (4, 5, 8));0.64543710377;0.1;8;0.0126947489902;[13743 10233    33    66]
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.745485154576;0.05;10;0.71568627451;[67 32 26 73]
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.727461889499;0.05;8;0.0154579142403;[14703  9273    26    73]
