Date & Time,Posts in last 24H,Inactivity,First posts,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2007-10-17 18:00:00,0,439,0.0,0.0,37.0,0.0,0.0459459459459,2.1891891891900004
2007-10-20 20:00:00,0,73,0.0,0.4,25.0,0.10021666666699999,0.2736,10.4
2007-10-21 10:00:00,1,13,0.0,0.25,12.0,0.043726851851900006,0.21310185185199998,10.5
2007-11-26 07:00:00,0,860,0.0,0.0,9.0,0.0537037037037,0.238888888889,8.555555555560002
2008-05-17 12:00:00,0,4156,0.0,0.0,2.0,0.0,0.0,8.5
2008-10-12 18:00:00,0,3557,0.0,0.555555555556,9.0,0.113888888889,0.19444444444400003,8.88888888889
2008-10-12 20:00:00,1,1,0.0,0.0,7.0,0.0914285714286,0.14285714285700002,5.8571428571399995
2008-10-19 21:00:00,0,168,0.0,0.052631578947400004,19.0,0.00328947368421,0.0421052631579,2.8947368421099995
2008-12-01 18:00:00,0,1028,0.0,0.0625,16.0,0.0388020833333,0.195833333333,9.1875
2008-12-14 19:00:00,0,312,1.0,0.33333333333299997,12.0,0.05416666666669999,0.104166666667,11.0
2008-12-15 18:00:00,1,22,0.0,0.0,2.0,0.0,0.0,4.5
2008-12-18 12:00:00,0,65,0.0,0.0,6.0,0.10972222222200001,0.152777777778,7.833333333330001
2009-01-01 17:00:00,0,340,0.0,0.0,8.0,-0.125,0.2625,7.625
2009-03-14 12:00:00,0,1722,0.0,0.526315789474,19.0,0.108631578947,0.284122807018,9.052631578949999
2009-03-14 18:00:00,1,5,0.0,0.0,23.0,0.08695652173910001,0.164673913043,6.95652173913
2009-03-15 00:00:00,2,5,0.0,0.4,5.0,-0.155,0.27,5.4
2009-03-15 13:00:00,2,12,0.0,0.1875,16.0,0.03359375,0.09375,4.8125
2009-03-15 20:00:00,2,6,0.0,0.4,10.0,0.06052083333330001,0.256527777778,8.45
2009-03-15 21:00:00,4,0,0.0,0.0,4.0,-0.046875,0.31875,12.0
2009-03-16 18:00:00,3,20,0.0,0.4,10.0,0.06666666666669999,0.426666666667,10.7
2009-03-20 17:00:00,0,94,0.0,0.125,16.0,0.03984375,0.20109375,5.8125
2009-04-09 17:00:00,0,479,0.0,0.272727272727,11.0,0.04621212121209999,0.152272727273,8.090909090910001
2009-04-22 18:00:00,0,312,0.0,0.28571428571400004,21.0,-0.00515873015873,0.150793650794,5.38095238095
2009-04-22 22:00:00,1,3,0.0,0.363636363636,11.0,-0.0870454545455,0.40045454545500003,12.2727272727
2009-04-23 13:00:00,2,14,0.0,0.0,23.0,0.030555555555599998,0.179710144928,8.52173913043
2009-06-13 16:00:00,0,1226,0.0,0.23076923076900002,6.0,0.107644230769,0.164375,10.4615384615
2010-01-28 20:00:00,0,5499,0.0,0.33333333333299997,6.0,0.0,0.0,9.833333333330001
2010-02-22 18:00:00,0,597,0.0,0.206896551724,29.0,0.0170977011494,0.149425287356,10.8965517241
2010-02-22 19:00:00,1,0,0.0,0.434782608696,23.0,0.0690217391304,0.24178743961399998,6.521739130429999
2010-02-22 20:00:00,2,0,0.0,0.0,11.0,0.113257575758,0.293560606061,9.27272727273
2010-02-22 22:00:00,3,1,0.0,0.0,3.0,0.0,0.0166666666667,5.0
2010-02-23 07:00:00,4,8,0.0,0.0,13.0,0.155048076923,0.395576923077,13.6923076923
2010-02-23 18:00:00,5,10,0.0,0.8571428571430001,7.0,-0.029761904761900004,0.22142857142900002,8.57142857143
2010-02-24 18:00:00,1,23,0.0,0.733333333333,15.0,0.04683333333330001,0.16899999999999998,7.13333333333
2010-02-24 21:00:00,1,2,0.0,0.0,5.0,0.02,0.08,13.2
2010-03-02 11:00:00,0,133,0.0,0.0,8.0,-0.003125,0.26875,4.625
2010-03-02 16:00:00,1,4,0.0,0.214285714286,14.0,0.089880952381,0.17619047619000003,5.21428571429
2010-03-10 17:00:00,0,192,0.0,0.428571428571,14.0,0.101041666667,0.382142857143,7.92857142857
2010-03-14 12:00:00,0,90,0.0,0.0,8.0,0.0979166666667,0.33541666666700004,13.25
2010-03-14 13:00:00,1,0,0.0,0.14285714285700002,7.0,0.148333333333,0.50373015873,14.5714285714
2010-03-26 22:00:00,0,296,0.0,0.392857142857,28.0,0.023824404761900002,0.22107142857099998,8.53571428571
2010-03-27 09:00:00,1,10,0.0,0.388888888889,18.0,-0.0245601851852,0.19074074074099998,9.055555555560002
2010-03-27 10:00:00,2,0,0.0,0.153846153846,13.0,0.1375,0.257692307692,8.230769230770001
2010-03-27 11:00:00,3,0,0.0,0.17857142857099997,28.0,0.0449142156863,0.255164565826,7.07142857143
2010-03-27 19:00:00,4,7,0.0,0.0,4.0,0.126666666667,0.41583333333300004,12.75
2010-03-30 15:00:00,0,67,0.0,0.46666666666699996,30.0,0.0153888888889,0.087037037037,6.333333333330001
2010-03-30 16:00:00,1,0,0.0,0.5,14.0,-0.009722222222219998,0.249761904762,10.714285714299999
2010-03-30 18:00:00,2,1,0.0,1.0,6.0,0.008333333333329999,0.104166666667,5.16666666667
2010-03-31 18:00:00,1,23,0.0,0.0,8.0,-0.088125,0.31770833333299997,14.5
2010-03-31 19:00:00,1,0,0.0,0.0,8.0,0.0194444444444,0.0638888888889,8.375
2010-03-31 21:00:00,2,1,0.0,0.777777777778,9.0,-0.0555555555556,0.161111111111,6.77777777778
2010-04-01 10:00:00,3,12,0.0,0.1875,16.0,-0.05248697916669999,0.308055555556,9.125
2010-04-01 18:00:00,4,7,0.0,0.0,16.0,0.08859375,0.1765625,7.8125
2010-04-04 10:00:00,0,63,0.0,0.65,20.0,0.005125,0.081875,5.95
2010-04-04 14:00:00,1,3,0.0,0.0,13.0,0.10884615384600001,0.23653846153799998,6.15384615385
2010-04-07 20:00:00,0,77,0.0,0.05,20.0,0.0948125,0.285194444444,9.2
2010-04-07 21:00:00,1,0,0.0,0.176470588235,17.0,0.0401960784314,0.08627450980389999,7.5882352941199995
2010-04-07 22:00:00,2,0,0.0,0.28571428571400004,7.0,0.042857142857099996,0.230952380952,4.42857142857
2010-04-09 19:00:00,0,44,0.0,0.0,7.0,0.14285714285700002,0.128571428571,3.0
